,Date,Weights,Profit,Base Profit,Volume,JKHY,EBIX,STRM,UIS,ATRI,CRY,TFX,MMM,CIGI,TRC,FRPH,CTO,cash
806,2017-03-20,"[0.24161933 0.         0.         0.         0.         0.17614649
 0.16024296 0.13089249 0.16643299 0.         0.         0.
 0.12466575]",1.4507134071830154,1.516161554725333,0.007960416349239774,0.0,0.0,0.0,0.0,0.1761464923620224,0.160242959856987,0.13089248538017273,0.16643299162387848,0.0,0.0,0.0,0.1246657520532608,0.24161933362483978
807,2017-03-21,"[0.24208842 0.         0.         0.         0.         0.1756752
 0.16049267 0.1308775  0.16620393 0.         0.         0.
 0.12466226]",1.4606718801147442,1.5192675784402587,0.002418210492383479,0.0,0.0,0.0,0.0,0.1756751984357834,0.1604926735162735,0.13087749481201172,0.16620393097400665,0.0,0.0,0.0,0.12466225773096085,0.2420884221792221
808,2017-03-22,"[0.24247682 0.         0.         0.         0.         0.17567448
 0.1604173  0.1307724  0.16622393 0.         0.         0.
 0.12443506]",1.466976576923434,1.5231827252817782,0.009442409394735092,0.0,0.0,0.0,0.0,0.17567448318004608,0.16041730344295502,0.1307723969221115,0.1662239283323288,0.0,0.0,0.0,0.12443505972623825,0.24247682094573975
809,2017-03-23,"[0.24192718 0.         0.         0.         0.         0.17603254
 0.16031227 0.13073322 0.1662742  0.         0.         0.
 0.1247206 ]",1.4492088219101047,1.4952240960017444,0.004873810224000095,0.0,0.0,0.0,0.0,0.17603254318237305,0.16031226515769958,0.13073322176933289,0.16627420485019684,0.0,0.0,0.0,0.12472060322761536,0.24192717671394348
810,2017-03-24,"[0.2415124  0.         0.         0.         0.         0.17618152
 0.16030428 0.13072    0.16626209 0.         0.         0.
 0.12501968]",1.4442187086599052,1.4875534247356943,0.007842451615135197,0.0,0.0,0.0,0.0,0.17618152499198914,0.16030427813529968,0.13072000443935394,0.16626209020614624,0.0,0.0,0.0,0.12501968443393707,0.24151240289211273
811,2017-03-27,"[0.24197052 0.         0.         0.         0.         0.1760525
 0.16026175 0.1307604  0.1663649  0.         0.         0.
 0.12458988]",1.4575135929772074,1.4986241644265175,0.006244727608729951,0.0,0.0,0.0,0.0,0.1760524958372116,0.16026175022125244,0.13076040148735046,0.1663648933172226,0.0,0.0,0.0,0.12458987534046173,0.24197052419185638
812,2017-03-28,"[0.24253055 0.         0.         0.         0.         0.17574397
 0.16043118 0.1306648  0.16617842 0.         0.         0.
 0.1244511 ]",1.4534189481786364,1.4817469614290906,0.012060020289182516,0.0,0.0,0.0,0.0,0.175743967294693,0.1604311764240265,0.13066479563713074,0.16617842018604279,0.0,0.0,0.0,0.12445110082626343,0.24253055453300476
813,2017-03-29,"[0.2417558  0.         0.         0.         0.         0.17593427
 0.16039483 0.13083155 0.16621907 0.         0.         0.
 0.12486453]",1.4479872630792967,1.483955345111854,0.007712908444498356,0.0,0.0,0.0,0.0,0.17593427002429962,0.1603948324918747,0.1308315545320511,0.1662190705537796,0.0,0.0,0.0,0.12486453354358673,0.24175579845905304
814,2017-03-30,"[0.24130566 0.         0.         0.         0.         0.17613779
 0.16036716 0.13092741 0.16614105 0.         0.         0.
 0.12512097]",1.4431036765475347,1.4844264690826137,0.009966738052308348,0.0,0.0,0.0,0.0,0.1761377900838852,0.16036716103553772,0.1309274137020111,0.16614104807376862,0.0,0.0,0.0,0.12512096762657166,0.2413056641817093
815,2017-03-31,"[0.24096598 0.         0.         0.         0.         0.17664951
 0.16012517 0.13081516 0.16629173 0.         0.         0.
 0.12515248]",1.444038507116375,1.4859864157955762,0.00851333726897354,0.0,0.0,0.0,0.0,0.17664951086044312,0.16012516617774963,0.13081516325473785,0.1662917286157608,0.0,0.0,0.0,0.12515248358249664,0.24096597731113434
816,2017-04-03,"[0.241614   0.         0.         0.         0.         0.17664403
 0.16005585 0.13070768 0.16629593 0.         0.         0.
 0.12468251]",1.4499932947602931,1.4906723872291223,0.003993125317374227,0.0,0.0,0.0,0.0,0.17664402723312378,0.16005584597587585,0.13070768117904663,0.16629593074321747,0.0,0.0,0.0,0.12468250840902328,0.24161399900913239
817,2017-04-04,"[0.23896119 0.         0.         0.         0.         0.15060423
 0.17105734 0.14340764 0.16711272 0.         0.         0.
 0.12885684]",1.4543983695395328,1.4960941449069276,0.07829401804575672,0.0,0.0,0.0,0.0,0.1506042331457138,0.1710573434829712,0.1434076428413391,0.16711272299289703,0.0,0.0,0.0,0.1288568377494812,0.23896118998527527
