,Date,Weights,Profit,Base Profit,Volume,KAMN,LAWS,WLFC,HDSN,BCRX,TTNP,TECH,NBIX,SUP,STRT,DORM,MOD,cash
704,2016-10-20,"[0.         0.11160166 0.34134284 0.1551087  0.12601944 0.
 0.         0.         0.12137638 0.         0.         0.
 0.14455098]",1.5286000547152947,1.4001758370568307,0.012806475410792727,0.1116016576023178,0.34134283691125744,0.15510870257416118,0.12601944097842813,0.0,0.0,0.0,0.12137638299116925,0.0,0.0,0.0,0.14455097894266625,0.0
705,2016-10-21,"[0.         0.11186098 0.33980881 0.15512353 0.12686514 0.
 0.         0.         0.1217736  0.         0.         0.
 0.14456794]",1.5361447678534221,1.3908142228293132,0.0393159962226973,0.1118609800214308,0.3398088079449244,0.15512353247144303,0.12686513865807628,0.0,0.0,0.0,0.12177360137636259,0.0,0.0,0.0,0.14456793952776292,0.0
706,2016-10-24,"[0.         0.11253688 0.342596   0.15401558 0.1251833  0.
 0.         0.         0.12111903 0.         0.         0.
 0.14454921]",1.593102385802624,1.4098782625449129,0.022469521847072342,0.1125368843034552,0.342595996425941,0.15401558482132552,0.12518329871720643,0.0,0.0,0.0,0.12111902562935621,0.0,0.0,0.0,0.14454921010271563,0.0
707,2016-10-25,"[0.         0.1118731  0.34717283 0.15222087 0.12432121 0.
 0.         0.         0.12062306 0.         0.         0.
 0.14378893]",1.6196543155838792,1.4190691602479977,0.04124256865512413,0.11187310167531432,0.3471728270040677,0.1522208684237149,0.12432121236791327,0.0,0.0,0.0,0.12062306459829245,0.0,0.0,0.0,0.14378892593069736,0.0
708,2016-10-26,"[0.         0.11375452 0.34378829 0.15299296 0.12554172 0.
 0.         0.         0.11990291 0.         0.         0.
 0.14401959]",1.61409970471849,1.4124382090121494,0.01871398110079128,0.11375452184981041,0.34378829322657367,0.15299296423610942,0.12554171671039174,0.0,0.0,0.0,0.11990291241571249,0.0,0.0,0.0,0.1440195915614024,0.0
709,2016-10-27,"[0.         0.11396783 0.34424679 0.15360428 0.12450235 0.
 0.         0.         0.11930484 0.         0.         0.
 0.14437392]",1.5892158155347715,1.4024337254744093,0.02024128699584933,0.11396783014818111,0.3442467865676409,0.15360427610742852,0.12450235377702286,0.0,0.0,0.0,0.11930483738329331,0.0,0.0,0.0,0.14437391601643348,0.0
710,2016-10-28,"[0.         0.11482396 0.34177565 0.15487511 0.1247799  0.
 0.         0.         0.11988873 0.         0.         0.
 0.14385665]",1.5839203351385076,1.3953989054765408,0.022451040696478016,0.11482396455121557,0.34177564933484517,0.1548751062767139,0.12477989903066396,0.0,0.0,0.0,0.11988872896048416,0.0,0.0,0.0,0.14385665184607707,0.0
711,2016-10-31,"[0.         0.11321579 0.34455779 0.15260835 0.1239716  0.
 0.         0.         0.1209921  0.         0.         0.
 0.14465437]",1.5763558393205432,1.3705228414296633,0.019788671246885815,0.11321579197483704,0.3445577874401015,0.1526083500130817,0.12397160036383562,0.0,0.0,0.0,0.12099210014814993,0.0,0.0,0.0,0.1446543700599942,0.0
712,2016-11-01,"[0.         0.11291292 0.34431751 0.15357562 0.12418404 0.
 0.         0.         0.12050117 0.         0.         0.
 0.14450874]",1.5867686819531566,1.372523013932599,0.02303115145825338,0.11291292042280775,0.3443175070306403,0.15357562039996894,0.12418404271277368,0.0,0.0,0.0,0.1205011734698768,0.0,0.0,0.0,0.14450873596393257,0.0
713,2016-11-02,"[0.         0.11283674 0.34467062 0.15274971 0.12380563 0.
 0.         0.         0.12064372 0.         0.         0.
 0.14529358]",1.5765145283817448,1.3706904638351873,0.014779086204956415,0.11283674050249932,0.3446706209690693,0.15274971369327647,0.123805629568381,0.0,0.0,0.0,0.12064371775054404,0.0,0.0,0.0,0.14529357751622993,0.0
714,2016-11-03,"[0.         0.11227747 0.34278952 0.15292003 0.1247805  0.
 0.         0.         0.12186992 0.         0.         0.
 0.14536257]",1.5366319088339715,1.3535207831562204,0.02244639641644826,0.11227746571811827,0.3427895169264354,0.1529200345918682,0.12478049675338748,0.0,0.0,0.0,0.12186991698921197,0.0,0.0,0.0,0.14536256902097874,0.0
715,2016-11-04,"[0.         0.11242743 0.34702356 0.15343376 0.12299743 0.
 0.         0.         0.12209743 0.         0.         0.
 0.14202039]",1.5421299178978245,1.3601597825460283,0.050789982534655234,0.11242743193505969,0.3470235594882934,0.15343375579692023,0.12299742615917209,0.0,0.0,0.0,0.12209743278956481,0.0,0.0,0.0,0.14202039383098966,0.0
716,2016-11-07,"[0.         0.11300586 0.34329173 0.15358307 0.12424276 0.
 0.         0.         0.12025653 0.         0.         0.
 0.14562005]",1.534507229082762,1.3221324271344947,0.03783578174295696,0.1130058602274302,0.34329173043095773,0.15358306735698113,0.12424275701478006,0.0,0.0,0.0,0.1202565315686943,0.0,0.0,0.0,0.14562005340115663,0.0
