,Date,Weights,Profit,Base Profit,Volume,JNJ,PFE,ABT,BMY,F,OSK,SPAR,PCAR,LAWS,KAMN,WLFC,HDSN,cash
321,2015-04-16,"[0.09893454 0.         0.08752476 0.09233292 0.07944312 0.08858652
 0.09524917 0.09096587 0.10290599 0.         0.08493932 0.09911696
 0.08000078]",1.0894401012155075,1.1435940267267959,0.004017588262989982,0.0,0.08752476423978806,0.09233292192220688,0.07944311946630478,0.08858652412891388,0.09524916857481003,0.0909658744931221,0.1029059886932373,0.0,0.08493931591510773,0.09911695867776871,0.08000078052282333,0.09893453866243362
322,2015-04-17,"[0.09901802 0.         0.08748947 0.09233434 0.07948888 0.0885117
 0.09532902 0.09093814 0.10288712 0.         0.08490113 0.0990821
 0.08002008]",1.0932535275664785,1.1379192708088641,0.006341930493823162,0.0,0.08748947083950043,0.0923343375325203,0.07948888093233109,0.08851169794797897,0.09532902389764786,0.09093814343214035,0.1028871163725853,0.0,0.08490113168954849,0.0990821048617363,0.08002008497714996,0.09901802241802216
323,2015-04-20,"[0.09913831 0.         0.08745635 0.09216171 0.07964086 0.08842538
 0.09536247 0.09105865 0.10290697 0.         0.08487469 0.09900206
 0.07997259]",1.092117135412195,1.1404802594962038,0.01603734841127983,0.0,0.0874563455581665,0.09216170758008957,0.07964085787534714,0.08842538297176361,0.09536246955394745,0.091058649122715,0.1029069721698761,0.0,0.08487468957901001,0.09900205582380295,0.07997258752584457,0.09913831204175949
324,2015-04-21,"[0.09922166 0.         0.08743358 0.09207905 0.07974783 0.08835834
 0.09540184 0.09111275 0.10289311 0.         0.08484711 0.09894156
 0.07996316]",1.0903637562863673,1.1448593253526353,0.01025605797036715,0.0,0.0874335765838623,0.0920790508389473,0.07974783331155777,0.0883583351969719,0.0954018384218216,0.09111274778842926,0.10289310663938522,0.0,0.0848471075296402,0.09894155710935593,0.07996316254138947,0.09922166168689728
325,2015-04-22,"[0.09928553 0.         0.08740213 0.09195786 0.07981453 0.08834012
 0.09543206 0.09121441 0.10289451 0.         0.08483528 0.09890068
 0.07992291]",1.1065579001284425,1.1568877740499977,0.00551463568130152,0.0,0.08740212768316269,0.09195785969495773,0.07981453090906143,0.08834011852741241,0.09543205797672272,0.09121441096067429,0.10289451479911804,0.0,0.08483528345823288,0.0989006832242012,0.07992291450500488,0.09928552806377411
326,2015-04-23,"[0.09935225 0.         0.08739439 0.09188377 0.07976056 0.08833289
 0.09547899 0.09124859 0.10294647 0.         0.08486014 0.09890497
 0.07983696]",1.1074188595625152,1.1535250198657803,0.014490755036083637,0.0,0.08739439398050308,0.09188377112150192,0.07976055890321732,0.0883328914642334,0.09547898918390274,0.09124858677387238,0.10294646769762039,0.0,0.08486013859510422,0.09890496730804443,0.07983696460723877,0.09935224801301956
327,2015-04-24,"[0.09944437 0.         0.08737119 0.09176669 0.07979409 0.08832016
 0.09552016 0.09135585 0.10291918 0.         0.08487621 0.09886975
 0.07976236]",1.1121357258995235,1.1580315474248208,0.012032626949854413,0.0,0.08737118542194366,0.09176668524742126,0.07979409396648407,0.08832015842199326,0.09552016109228134,0.09135585278272629,0.10291917622089386,0.0,0.08487620949745178,0.09886974841356277,0.07976236194372177,0.09944436699151993
328,2015-04-27,"[0.09949975 0.         0.08737505 0.09169714 0.07987921 0.08825634
 0.09551897 0.09139414 0.10293467 0.         0.08486548 0.09883298
 0.07974626]",1.1094845958150428,1.1550334417435484,0.008429756917693888,0.0,0.08737505227327347,0.09169714152812958,0.07987920939922333,0.0882563367486,0.09551896899938583,0.09139414131641388,0.10293466597795486,0.0,0.08486548066139221,0.09883297979831696,0.07974626123905182,0.09949974715709686
329,2015-04-28,"[0.09952211 0.         0.08736404 0.09166271 0.07993184 0.0882301
 0.0955282  0.091417   0.10293361 0.         0.08484589 0.09881075
 0.07975379]",1.111281281858174,1.1563185862971523,0.006327803900812513,0.0,0.08736404031515121,0.09166271239519119,0.07993184030056,0.08823009580373764,0.09552820026874542,0.09141699969768524,0.1029336079955101,0.0,0.0848458856344223,0.09881074726581573,0.07975378632545471,0.09952210634946823
330,2015-04-29,"[0.09955053 0.         0.08737046 0.09162937 0.07998814 0.08818643
 0.0955411  0.09142766 0.10293618 0.         0.0848252  0.09878551
 0.07975943]",1.1089909662825121,1.151315546066601,0.0029571941635882157,0.0,0.08737046271562576,0.09162937104701996,0.07998814433813095,0.08818642795085907,0.0955410972237587,0.09142766147851944,0.10293617844581604,0.0,0.08482519537210464,0.09878551214933395,0.07975943386554718,0.0995505303144455
331,2015-04-30,"[0.09956954 0.         0.08740125 0.09168597 0.08004621 0.08809172
 0.09552427 0.09133191 0.10295726 0.         0.08480115 0.09878603
 0.07980469]",1.1117172990879836,1.1574188587227137,0.009669492796110913,0.0,0.08740124851465225,0.09168596565723419,0.08004620671272278,0.08809171617031097,0.09552426636219025,0.09133190661668777,0.10295726358890533,0.0,0.08480115234851837,0.09878603368997574,0.0798046886920929,0.09956954419612885
332,2015-05-01,"[0.09961609 0.         0.08744536 0.09169516 0.08017072 0.08796365
 0.09549643 0.09127866 0.10296329 0.         0.08478026 0.09875398
 0.07983643]",1.1104013913478485,1.1485546502668837,0.01225337215027443,0.0,0.08744536340236664,0.0916951596736908,0.08017072081565857,0.08796364814043045,0.09549643099308014,0.09127866476774216,0.10296329110860825,0.0,0.0847802609205246,0.09875398129224777,0.07983642816543579,0.09961608797311783
