,Date,Weights,Profit,Base Profit,STKL,PYX,ANDE,UVV,PKI,WAT,BIO,COHR,NBIX,TECH,TTNP,BCRX,cash
233,2014-12-08,"[0.         0.         0.         0.08030486 0.17484937 0.
 0.08344044 0.22245711 0.         0.13380268 0.12596521 0.08211387
 0.09706645]",1.0915845021420858,1.0374382318245627,0.0,0.0,0.08030486497374523,0.17484936966781858,0.0,0.08344044039183492,0.22245711257918283,0.0,0.1338026817085915,0.12596521338276326,0.08211386656996757,0.09706645072609608,0.0
234,2014-12-09,"[0.         0.         0.         0.08012292 0.17452652 0.
 0.08343425 0.22218001 0.         0.13381676 0.12639975 0.08211486
 0.09740494]",1.085762010771217,1.03261834610211,0.0,0.0,0.08012291792680847,0.17452652254008483,0.0,0.08343425150169252,0.22218000668495466,0.0,0.13381675744224242,0.12639974602664025,0.08211486033050175,0.09740493754707513,0.0
235,2014-12-10,"[0.         0.         0.         0.08001391 0.17430444 0.
 0.08338742 0.2219415  0.         0.13388963 0.12660196 0.08220048
 0.09766065]",1.0704410672759261,1.014773127962037,0.0,0.0,0.0800139073136428,0.17430444183358695,0.0,0.08338742277601,0.22194149958244122,0.0,0.133889634478552,0.12660196254013475,0.0822004831877503,0.09766064828788204,0.0
236,2014-12-11,"[0.         0.         0.         0.07993484 0.17409034 0.
 0.08340418 0.22175419 0.         0.13387014 0.12689203 0.08219342
 0.09786088]",1.1019047646616988,1.0377044387578196,0.0,0.0,0.07993483801954279,0.17409033645446811,0.0,0.08340417887983229,0.22175418812147973,0.0,0.1338701376928463,0.12689202706145086,0.08219341575323379,0.09786087801714606,0.0
237,2014-12-12,"[0.         0.         0.         0.07991998 0.17414328 0.
 0.08339109 0.22189925 0.         0.13403023 0.12642789 0.08215255
 0.09803573]",1.10666938204923,1.040640658467142,0.0,0.0,0.07991998341706624,0.17414328003207577,0.0,0.08339109221097005,0.22189924513255677,0.0,0.13403023332562994,0.12642788678802158,0.08215255029135861,0.09803572880232107,0.0
238,2014-12-15,"[0.         0.         0.         0.07996035 0.17411728 0.
 0.0834836  0.22196334 0.         0.13396073 0.12640709 0.08205728
 0.09805033]",1.10359802976145,1.0355738613045808,0.0,0.0,0.07996035387447269,0.17411727785007114,0.0,0.08348360458300207,0.22196333719639746,0.0,0.13396072811561077,0.12640708997817593,0.08205727742139092,0.09805033098087912,0.0
239,2014-12-16,"[0.         0.         0.         0.08002884 0.1742387  0.
 0.08348602 0.22212528 0.         0.13399893 0.12610337 0.08203245
 0.09798641]",1.1075332397672693,1.039136848276388,0.0,0.0,0.08002883531462496,0.17423869861699795,0.0,0.08348602478245798,0.22212527978281602,0.0,0.13399892958299045,0.1261033714792168,0.08203245498956002,0.09798640545133597,0.0
240,2014-12-17,"[0.         0.         0.         0.08009901 0.17422229 0.
 0.0835615  0.22216654 0.         0.13388667 0.12618172 0.08195885
 0.09792342]",1.0840067100734911,1.0228079513381312,0.0,0.0,0.080099005861065,0.1742222914471239,0.0,0.08356150038446104,0.22216653777334183,0.0,0.13388667130850107,0.1261817195032046,0.08195885032585516,0.0979234233964473,0.0
241,2014-12-18,"[0.         0.         0.         0.0799951  0.17409023 0.
 0.08350465 0.22205663 0.         0.13395627 0.1262871  0.08199837
 0.09811165]",1.0806327600592358,1.0230211709571009,0.0,0.0,0.07999510408632847,0.17409022647083058,0.0,0.08350465077116612,0.22205662959905711,0.0,0.13395627334951354,0.1262870979108216,0.0819983674156352,0.09811165039664763,0.0
242,2014-12-19,"[0.         0.         0.         0.08017362 0.17421512 0.
 0.08372405 0.22248401 0.         0.13386498 0.12579914 0.0816446
 0.09809448]",1.126292001960502,1.0687329672856054,0.0,0.0,0.08017362075787607,0.17421511863338118,0.0,0.08372405412372777,0.2224840127230747,0.0,0.13386497915829135,0.1257991359224358,0.08164459623920937,0.09809448244200371,0.0
243,2014-12-22,"[0.         0.         0.         0.08015527 0.17428589 0.
 0.08373836 0.22260451 0.         0.13387477 0.12566779 0.08161043
 0.09806298]",1.141798620909353,1.0786895450261718,0.0,0.0,0.08015526938711373,0.17428589245720816,0.0,0.08373836398965577,0.2226045118272797,0.0,0.1338747677387506,0.12566778914224674,0.08161042604639737,0.09806297941134785,0.0
244,2014-12-23,"[0.         0.         0.         0.08015969 0.17436318 0.
 0.08378721 0.22271066 0.         0.13383824 0.125615   0.08153773
 0.09798831]",1.1545315072263191,1.0955434611928574,0.0,0.0,0.08015968982861911,0.17436317560323422,0.0,0.0837872065737334,0.22271065776285742,0.0,0.133838235655078,0.12561499533410747,0.08153772821997916,0.0979883110223911,0.0
245,2014-12-24,"[0.         0.         0.         0.08011453 0.17440759 0.
 0.08364255 0.22253625 0.         0.13385085 0.12592498 0.08174841
 0.09777484]",1.1515009959330562,1.0845578793299118,0.0,0.0,0.08011452809282665,0.17440758801899753,0.0,0.08364255262221834,0.22253624559675517,0.0,0.13385085098966173,0.12592498183868042,0.0817484135693496,0.09777483927151062,0.0
246,2014-12-26,"[0.         0.         0.         0.07998312 0.17434627 0.
 0.08341892 0.22225516 0.         0.13399907 0.12620361 0.08200703
 0.09778682]",1.1272526903677378,1.060983939932344,0.0,0.0,0.07998311784644727,0.17434627352028398,0.0,0.08341891738993125,0.22225516292943373,0.0,0.13399906553332813,0.12620361187730897,0.08200702619459685,0.09778682470866978,0.0
247,2014-12-29,"[0.         0.         0.         0.07994418 0.17429066 0.
 0.08337899 0.22213697 0.         0.13403011 0.1263391  0.08205349
 0.0978265 ]",1.137985489597784,1.0720883968835695,0.0,0.0,0.07994418422556146,0.17429066375626875,0.0,0.08337899063164218,0.22213697104485083,0.0,0.13403010786244168,0.1263390952247538,0.08205349047993964,0.09782649677454172,0.0
