,Date,Weights,Profit,Base Profit,Volume,AAME,FFG,CIA,GL,RES,HLX,ENSV,CLB,LAWS,HDSN,WLFC,KAMN,cash
36,2014-02-27,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.020826553899691,1.0120708550577424,0.013963083774582219,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
37,2014-02-28,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.031609259670903,1.0166083033817188,0.016455338313348077,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
38,2014-03-03,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.0393664840104657,1.0221827854477181,0.01538695323588604,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
39,2014-03-04,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.0432458225317758,1.0237819536879558,0.017629490496101574,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
40,2014-03-05,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.0408709537051555,1.0311026503481342,0.012488159799583533,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
41,2014-03-06,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.0459459388117525,1.042891048204208,0.009120174722674967,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
42,2014-03-07,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.053138986517796,1.043711063667381,0.016411254490516378,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
43,2014-03-10,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.0667080795083768,1.0627678311210287,0.010476854223792973,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
44,2014-03-11,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.0737192614342912,1.068410622517201,0.016050320253523268,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
45,2014-03-12,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.075786226053883,1.0723454508170804,0.008810857651599448,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
46,2014-03-13,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.057617883101582,1.049218320387633,0.012019263247618293,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
47,2014-03-14,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.0682478437022875,1.0705262590125155,0.016300446919732224,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
48,2014-03-17,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.0348630180735485,1.0382832416030252,0.0198350888022398,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
49,2014-03-18,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.0417998614937696,1.0502665570350622,0.023864898765960714,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
50,2014-03-19,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.0365066494576625,1.049363851362239,0.014905112371696312,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
51,2014-03-20,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.045552154926194,1.0576358596093625,0.015753510313097966,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
52,2014-03-21,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.0639696022452956,1.0636459228016562,0.020453293795014794,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
53,2014-03-24,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.0670467239044945,1.0718434875654896,0.03390734148203196,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
54,2014-03-25,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.0642278147921607,1.0732262689716952,0.01658531336911756,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
55,2014-03-26,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.0699612795578077,1.0776466321621458,0.01176519023669032,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
56,2014-03-27,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.0506084250472927,1.0616965989227396,0.01700464610972202,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
57,2014-03-28,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.043109490013821,1.0503799389542876,0.020933670894117202,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
58,2014-03-31,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.0462656704682831,1.0557133041691142,0.01242283475125214,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
59,2014-04-01,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.0494947569018476,1.060814019811243,0.011670384301826035,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
60,2014-04-02,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.047857672368743,1.0603787935818938,0.012827346727552967,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
61,2014-04-03,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.0525230306295976,1.0669099523389332,0.010564120121706391,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
62,2014-04-04,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.054165778637187,1.0667288190028092,0.006073152959874472,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
63,2014-04-07,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.0562260851654217,1.0662030052213274,0.010590363851000996,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
64,2014-04-08,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.0386916985247572,1.045747059014757,0.01269828176736991,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
65,2014-04-09,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.0386078339028237,1.040331485740422,0.02256093583574797,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
66,2014-04-10,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.0411445585992178,1.0415394389420218,0.015022374071231467,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
67,2014-04-11,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.046943609125175,1.0493537458139814,0.019302405806737852,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
68,2014-04-14,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.028394380951214,1.0273150090826182,0.009739862445112246,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
