,Date,Weights,Profit,Base Profit,MTH,BZH,PHM,NVR,GGG,ITT,FLS,IEX,GL,AAME,FFG,CIA,cash
1415,2019-08-20,"[0.         0.09427076 0.07272776 0.07427324 0.09581234 0.
 0.08199582 0.07007612 0.05597538 0.10203946 0.1631786  0.08886324
 0.10078727]",1.5814343054745872,1.360348846620152,0.09427076213840221,0.07272776308273692,0.07427324361223198,0.09581234373938224,0.0,0.0819958164348015,0.07007612379436803,0.05597538120306686,0.10203945774544367,0.16317859542725818,0.08886324266268379,0.1007872701596245,0.0
1416,2019-08-21,"[0.         0.09470587 0.07257757 0.07370384 0.09573486 0.
 0.0819817  0.06978431 0.05592714 0.10212131 0.16329098 0.08906578
 0.10110664]",1.5844545264207812,1.3597248565130724,0.09470586654114509,0.07257757047728412,0.07370384200686382,0.09573486085190619,0.0,0.08198170270274273,0.06978431399134954,0.05592714052024779,0.10212130521709206,0.16329097572828288,0.08906578269746843,0.10110663926561757,0.0
1417,2019-08-22,"[0.         0.09496062 0.07187366 0.07289007 0.09583098 0.
 0.08235233 0.06980209 0.05561853 0.10241531 0.16342545 0.089016
 0.10181496]",1.5938020320105684,1.3684737670159715,0.0949606176814415,0.07187366458535027,0.07289006762815048,0.09583098497302112,0.0,0.08235232621999466,0.06980208934373308,0.05561852831542327,0.10241531180311879,0.16342544589783875,0.08901600326727024,0.10181496028465775,0.0
1418,2019-08-23,"[0.         0.09489411 0.07175979 0.07275406 0.09589563 0.
 0.08250322 0.06983084 0.0555177  0.10250486 0.1634183  0.08895734
 0.10196415]",1.6246421506213775,1.3763185141321783,0.09489411448339405,0.0717597866784211,0.07275406362522872,0.09589562960183683,0.0,0.08250322112027962,0.06983083558280892,0.05551770197348062,0.10250486318063223,0.16341829541648603,0.08895733934523517,0.10196414899219682,0.0
1419,2019-08-26,"[0.         0.09497188 0.07168765 0.07267653 0.09589342 0.
 0.0824735  0.06981671 0.05551602 0.10254017 0.16344048 0.08898824
 0.10199541]",1.61753000061257,1.3708191096052975,0.09497187605686934,0.07168764813400473,0.07267653415589179,0.09589341965889878,0.0,0.08247350169500073,0.06981670551221732,0.05551601848354136,0.10254016675484104,0.16344048417589344,0.0889882361914165,0.10199540918142498,0.0
1420,2019-08-27,"[0.         0.09480147 0.07125519 0.07259509 0.09604955 0.
 0.08265348 0.07010418 0.05537387 0.1026921  0.16349848 0.08880345
 0.10217313]",1.5938470027435534,1.3501371312548942,0.0948014715953586,0.07125518873134755,0.07259509487950225,0.09604954809466856,0.0,0.08265348350100171,0.0701041807752894,0.05537387097118215,0.10269210361130354,0.163498476533098,0.08880344991974605,0.10217313138750221,0.0
1421,2019-08-28,"[0.         0.09483674 0.07212727 0.07316983 0.09587137 0.
 0.0821416  0.06979219 0.05575109 0.10239004 0.16338309 0.08903923
 0.10149755]",1.6134851198636477,1.3613858156392522,0.09483673898230763,0.07212726671490698,0.07316983496461663,0.09587136551337326,0.0,0.08214159849584102,0.06979219055213405,0.05575109445369016,0.10239004442062773,0.16338308988099878,0.0890392279348275,0.10149754808667649,0.0
1422,2019-08-29,"[0.         0.09492483 0.0706197  0.07219419 0.09608315 0.
 0.08286405 0.07024308 0.05519455 0.10289131 0.1636657  0.08873353
 0.1025859 ]",1.5852743337693471,1.343050200749296,0.09492483154775298,0.07061970438280922,0.07219418943179849,0.09608314709492258,0.0,0.08286404957751106,0.0702430779725111,0.055194548447230665,0.1028913134102016,0.16366570198718042,0.0887335334125704,0.10258590273551153,0.0
1423,2019-08-30,"[0.         0.09511352 0.0708359  0.07207493 0.0959616  0.
 0.08277009 0.06999256 0.0552543  0.10277622 0.16369917 0.0889189
 0.10260281]",1.5911623389720797,1.3614281363758507,0.09511351794689976,0.07083590282664358,0.07207492913839951,0.09596159621808503,0.0,0.082770094878014,0.06999255945151477,0.05525430131553034,0.10277621723755356,0.16369917298991687,0.08891889794773465,0.10260281004970793,0.0
1424,2019-09-03,"[0.         0.09490845 0.07181071 0.0728561  0.09588024 0.
 0.08232679 0.06981088 0.05560144 0.10247988 0.16348171 0.08904656
 0.10179723]",1.6077322966481662,1.3741144293635719,0.09490845116859122,0.07181071444439326,0.07285610323701079,0.09588023856175457,0.0,0.082326791774908,0.06981088398816877,0.05560143641138107,0.10247987589424809,0.1634817101477272,0.08904656362523483,0.10179723074658227,0.0
