,Date,Weights,Profit,Base Profit,LAWS,KAMN,WLFC,HDSN,XLNX,MXIM,KOPN,INTC,NBIX,BCRX,TTNP,TECH,cash
1159,2018-08-13,"[0.         0.         0.10073858 0.1651653  0.12960185 0.
 0.         0.21882551 0.14993908 0.         0.12546519 0.
 0.1102645 ]",1.6103330170239172,2.1103082392196577,0.0,0.10073857877367796,0.16516530337035004,0.12960184679179967,0.0,0.0,0.21882550855984212,0.1499390787564779,0.0,0.12546518848221253,0.0,0.11026449526563979,0.0
1160,2018-08-14,"[0.         0.         0.10095268 0.16521611 0.12958781 0.
 0.         0.21873568 0.14991724 0.         0.12536792 0.
 0.11022255]",1.6082221021006367,2.110284206230801,0.0,0.1009526803236651,0.16521610513536047,0.12958781432437297,0.0,0.0,0.21873568064706866,0.1499172411807872,0.0,0.12536792425516016,0.0,0.11022255413358542,0.0
1161,2018-08-15,"[0.         0.         0.0973681  0.16280805 0.13207491 0.
 0.         0.21778795 0.15009373 0.         0.12771916 0.
 0.1121481 ]",1.6096798788560625,2.095217222354176,0.0,0.09736809646089624,0.16280805277782182,0.13207491078285571,0.0,0.0,0.21778795061170586,0.15009373285958733,0.0,0.1277191556420302,0.0,0.11214810086510285,0.0
1162,2018-08-16,"[0.         0.         0.12065033 0.16579377 0.12810874 0.
 0.         0.20157756 0.13873459 0.         0.12604524 0.
 0.11908978]",1.5971623315612955,2.081982827374981,0.0,0.12065032539733765,0.16579377250047955,0.12810873533399547,0.0,0.0,0.2015775604386258,0.13873458984332887,0.0,0.1260452400820159,0.0,0.1190897764042168,0.0
1163,2018-08-17,"[0.         0.         0.12306192 0.16655974 0.12821198 0.
 0.         0.19869678 0.13711765 0.         0.12598022 0.
 0.12037171]",1.5863727261526723,2.070002073430668,0.0,0.12306191603367199,0.1665597424288823,0.12821198389213606,0.0,0.0,0.19869678175418645,0.13711764664768344,0.0,0.12598022386375576,0.0,0.12037170537968413,0.0
1164,2018-08-20,"[0.         0.         0.12352086 0.1666688  0.12811201 0.
 0.         0.19811869 0.13709247 0.         0.12606152 0.
 0.12042566]",1.5803973449920357,2.059489907818801,0.0,0.1235208607297212,0.1666687975874492,0.12811200542052628,0.0,0.0,0.19811869087831666,0.13709246968948602,0.0,0.12606151758320658,0.0,0.12042565811129394,0.0
1165,2018-08-21,"[0.         0.         0.12373496 0.16625673 0.12754837 0.
 0.         0.197955   0.13798026 0.         0.12647452 0.
 0.12005016]",1.5784522007064699,2.0872104331728756,0.0,0.12373495518867894,0.16625672939870112,0.12754837080445286,0.0,0.0,0.19795500161329505,0.13798026431887656,0.0,0.12647452104397644,0.0,0.12005015763201918,0.0
1166,2018-08-22,"[0.         0.         0.12477929 0.16627932 0.12729925 0.
 0.         0.19772691 0.13761503 0.         0.12625164 0.
 0.12004858]",1.5716382611994717,2.0842731659619425,0.0,0.1247792851277319,0.16627931663852413,0.1272992516519941,0.0,0.0,0.19772690746040253,0.13761502569584957,0.0,0.12625163600118447,0.0,0.12004857742431327,0.0
1167,2018-08-23,"[0.         0.         0.12404314 0.16609028 0.12741973 0.
 0.         0.19784489 0.13796965 0.         0.12654231 0.
 0.12008999]",1.5883202085435175,2.0843212945427676,0.0,0.12404314274192474,0.16609027988846842,0.12741973399573203,0.0,0.0,0.19784489162483457,0.1379696501417238,0.0,0.1265423098912469,0.0,0.12008999171606967,0.0
1168,2018-08-24,"[0.         0.         0.12396546 0.16592095 0.127144   0.
 0.         0.19787757 0.13849917 0.         0.1267739  0.
 0.11981895]",1.589660472881402,2.118096319328345,0.0,0.12396546219841142,0.16592095265575785,0.12714399534240556,0.0,0.0,0.19787757177020504,0.13849916530487563,0.0,0.12677389779605244,0.0,0.119818954932292,0.0
1169,2018-08-27,"[0.         0.         0.12365372 0.16579019 0.12714651 0.
 0.         0.1979179  0.13876381 0.         0.12693474 0.
 0.11979314]",1.5987968375230026,2.1193165125891866,0.0,0.12365372113334064,0.1657901880296264,0.1271465086637102,0.0,0.0,0.19791789569450216,0.13876380738178398,0.0,0.12693473512031825,0.0,0.11979314397671835,0.0
1170,2018-08-28,"[0.         0.         0.1234022  0.16557892 0.12697862 0.
 0.         0.19795649 0.13926778 0.         0.12720032 0.
 0.11961567]",1.6191486043531498,2.1368396253889275,0.0,0.12340219623803637,0.16557891875881883,0.12697862199256335,0.0,0.0,0.19795648997339924,0.13926777875961405,0.0,0.1272003232810265,0.0,0.11961567099654166,0.0
1171,2018-08-29,"[0.         0.         0.12379444 0.16551469 0.12662729 0.
 0.         0.19785456 0.1395966  0.         0.12725637 0.
 0.11935605]",1.6089093365691398,2.157222912237602,0.0,0.12379444496413765,0.16551468916806664,0.12662729434087341,0.0,0.0,0.19785455661644402,0.13959659936827107,0.0,0.12725636870852186,0.0,0.11935604683368525,0.0
1172,2018-08-30,"[0.         0.         0.12382906 0.16516084 0.12613101 0.
 0.         0.19778968 0.14050443 0.         0.12763098 0.
 0.11895402]",1.6048221983450708,2.151139481934926,0.0,0.12382905598244388,0.16516083990114738,0.12613100767649613,0.0,0.0,0.1977896759463578,0.14050442811165217,0.0,0.12763097630351278,0.0,0.11895401607838983,0.0
1173,2018-08-31,"[0.         0.         0.12336547 0.16492076 0.12603731 0.
 0.         0.19785695 0.14104687 0.         0.12793876 0.
 0.11883388]",1.6123342115886874,2.1555361576745264,0.0,0.12336547472911107,0.16492075980208598,0.1260373078465347,0.0,0.0,0.19785695353380958,0.14104687373167168,0.0,0.12793875526630646,0.0,0.11883387509048042,0.0
1174,2018-09-04,"[0.         0.         0.12280885 0.16448194 0.12582053 0.
 0.         0.19795891 0.14194055 0.         0.12842355 0.
 0.11856566]",1.618776521287811,2.160671695950979,0.0,0.12280885439105306,0.1644819395124105,0.12582052582763179,0.0,0.0,0.19795891288078665,0.1419405533479584,0.0,0.128423554116819,0.0,0.11856565992334053,0.0
1175,2018-09-05,"[0.         0.         0.1227689  0.16402697 0.12541325 0.
 0.         0.19796807 0.14276629 0.         0.12882399 0.
 0.11823252]",1.6352077945523409,2.1955874423965303,0.0,0.12276890264055285,0.1640269740638143,0.12541325362718575,0.0,0.0,0.19796806743805695,0.14276629294084617,0.0,0.1288239929314748,0.0,0.11823251635806913,0.0
