,Date,Weights,Profit,Base Profit,SPXC,CVR,LECO,PFIN,EAT,MCD,PZZA,JACK,TRT,ASYS,VECO,IVAC,cash
448,2015-10-15,"[0.         0.         0.         0.11868143 0.11778279 0.26922235
 0.         0.12507845 0.14341694 0.         0.         0.22581804
 0.        ]",1.0123256572446442,0.965136701682364,0.0,0.0,0.11868142623610081,0.1177827923036724,0.269222352069965,0.0,0.12507844590632117,0.14341694429997753,0.0,0.0,0.2258180391839632,0.0,0.0
449,2015-10-16,"[0.         0.         0.         0.11879395 0.11871534 0.26921002
 0.         0.12591321 0.14234488 0.         0.         0.2250226
 0.        ]",1.0044510946176437,0.9567520417899652,0.0,0.0,0.11879394641239645,0.11871534192833835,0.26921001803380695,0.0,0.1259132120014291,0.14234488443198648,0.0,0.0,0.2250225971920426,0.0,0.0
450,2015-10-19,"[0.         0.         0.         0.1187527  0.11873182 0.2691699
 0.         0.12630031 0.14228509 0.         0.         0.22476018
 0.        ]",1.0074149280100717,0.9601861251858055,0.0,0.0,0.11875270017760606,0.11873182339595144,0.269169898104557,0.0,0.1263003074829923,0.14228509274735454,0.0,0.0,0.22476017809153861,0.0,0.0
451,2015-10-20,"[0.         0.         0.         0.11878373 0.11865204 0.269266
 0.         0.12641936 0.14228566 0.         0.         0.22459321
 0.        ]",1.0024060038771105,0.9641056069151488,0.0,0.0,0.11878373224164927,0.11865203823215949,0.26926599927033484,0.0,0.12641935510323443,0.14228566162727097,0.0,0.0,0.224593213525351,0.0,0.0
452,2015-10-21,"[0.         0.         0.         0.11874785 0.11855571 0.26925666
 0.         0.12656878 0.14222978 0.         0.         0.22464123
 0.        ]",0.9974889317059447,0.9632869050716218,0.0,0.0,0.11874784629962379,0.11855570962449268,0.26925665775753704,0.0,0.1265687759174681,0.1422297808521186,0.0,0.0,0.22464122954875973,0.0,0.0
453,2015-10-22,"[0.         0.         0.         0.11871735 0.11857777 0.26929152
 0.         0.12695471 0.14215984 0.         0.         0.2242988
 0.        ]",0.9949354829034102,0.967185641195711,0.0,0.0,0.11871734683324801,0.11857777347265236,0.2692915243856997,0.0,0.1269547148481434,0.14215983557235456,0.0,0.0,0.22429880488790202,0.0,0.0
454,2015-10-23,"[0.         0.         0.         0.11876975 0.11861113 0.26933724
 0.         0.12663465 0.14231946 0.         0.         0.22432777
 0.        ]",0.9937250323670913,0.9635599082383229,0.0,0.0,0.11876975029225073,0.11861112609350291,0.2693372360799278,0.0,0.12663465116116013,0.1423194616637253,0.0,0.0,0.2243277747094332,0.0,0.0
455,2015-10-26,"[0.         0.         0.         0.11888187 0.11813081 0.2692726
 0.         0.12555744 0.14308241 0.         0.         0.22507487
 0.        ]",1.0025731312743602,0.974503666109587,0.0,0.0,0.11888186962588765,0.11813080702788882,0.2692725991865403,0.0,0.1255574421134244,0.14308241481782857,0.0,0.0,0.2250748672284302,0.0,0.0
456,2015-10-27,"[0.         0.         0.         0.11893647 0.1175883  0.26946642
 0.         0.12462057 0.14375052 0.         0.         0.22563773
 0.        ]",0.9981057437556208,0.9729682429033274,0.0,0.0,0.11893646749105918,0.1175882985763678,0.2694664234053085,0.0,0.12462056593337084,0.1437505171164922,0.0,0.0,0.22563772747740152,0.0,0.0
457,2015-10-28,"[0.         0.         0.         0.11902366 0.11796264 0.26968613
 0.         0.12499518 0.14317353 0.         0.         0.22515887
 0.        ]",0.9991895091882704,0.975156000626331,0.0,0.0,0.11902365814617724,0.11796264301758795,0.2696861266143253,0.0,0.12499517664586189,0.14317352749129209,0.0,0.0,0.22515886808475566,0.0,0.0
458,2015-10-29,"[0.         0.         0.         0.11908067 0.11855529 0.26977615
 0.         0.12540459 0.14247798 0.         0.         0.22470532
 0.        ]",0.9930871689388345,0.9665499193676396,0.0,0.0,0.11908067054017303,0.1185552921468832,0.26977615407591043,0.0,0.12540458816607747,0.14247797547538868,0.0,0.0,0.22470531959556714,0.0,0.0
