,Date,Weights,Profit,Base Profit,SUP,MOD,STRT,DORM,EAT,MCD,PZZA,JACK,MXIM,KOPN,XLNX,INTC,cash
36,2014-02-27,"[0.         0.         0.         0.         0.13261759 0.
 0.         0.15171365 0.13484703 0.         0.19531821 0.38550353
 0.        ]",1.0659534581927854,1.0647975089699029,0.0,0.0,0.0,0.13261759054026112,0.0,0.0,0.15171364814075525,0.13484702670666265,0.0,0.19531820577263048,0.38550352883969047,0.0,0.0
37,2014-02-28,"[0.         0.         0.         0.         0.13230999 0.
 0.         0.15171616 0.13479667 0.         0.19555015 0.38562703
 0.        ]",1.0828107961740716,1.0758792133575352,0.0,0.0,0.0,0.13230998659850704,0.0,0.0,0.15171616049954964,0.13479666701419268,0.0,0.19555015101200127,0.38562703487574934,0.0,0.0
38,2014-03-03,"[0.         0.         0.         0.         0.13243935 0.
 0.         0.15167868 0.13483305 0.         0.19546492 0.385584
 0.        ]",1.0898786262025053,1.086737365511978,0.0,0.0,0.0,0.13243935219735742,0.0,0.0,0.15167867502610685,0.13483305168262025,0.0,0.19546491958523135,0.3855840015086841,0.0,0.0
39,2014-03-04,"[0.         0.         0.         0.         0.13240144 0.
 0.         0.15172553 0.13463236 0.         0.19581223 0.38542843
 0.        ]",1.076061635832881,1.0811452926737106,0.0,0.0,0.0,0.1324014449251856,0.0,0.0,0.1517255267487138,0.13463236366997333,0.0,0.19581223193201616,0.3854284327241111,0.0,0.0
40,2014-03-05,"[0.         0.         0.         0.         0.13238972 0.
 0.         0.15171625 0.13471151 0.         0.19569775 0.38548477
 0.        ]",1.09260886755451,1.0954123892376686,0.0,0.0,0.0,0.13238972398569596,0.0,0.0,0.15171625390018292,0.1347115067787477,0.0,0.1956977465068583,0.38548476882851507,0.0,0.0
41,2014-03-06,"[0.         0.         0.         0.         0.13206704 0.
 0.         0.15155883 0.13482176 0.         0.19575144 0.38580093
 0.        ]",1.1100832428763543,1.105277887586667,0.0,0.0,0.0,0.1320670447229973,0.0,0.0,0.15155882988159197,0.13482176034670115,0.0,0.1957514384370364,0.38580092661167315,0.0,0.0
42,2014-03-07,"[0.         0.         0.         0.         0.13261329 0.
 0.         0.15202153 0.13390726 0.         0.19674311 0.38471482
 0.        ]",1.1154537217295792,1.0998451049672562,0.0,0.0,0.0,0.13261328661083327,0.0,0.0,0.1520215272355289,0.13390725605106757,0.0,0.19674310512686224,0.384714824975708,0.0,0.0
43,2014-03-10,"[0.         0.         0.         0.         0.13251339 0.
 0.         0.15206952 0.13380821 0.         0.19711866 0.38449022
 0.        ]",1.1232230515798705,1.1105150964180037,0.0,0.0,0.0,0.1325133926320802,0.0,0.0,0.15206952081013486,0.13380821123204706,0.0,0.19711865519295674,0.38449022013278117,0.0,0.0
44,2014-03-11,"[0.         0.         0.         0.         0.13251574 0.
 0.         0.15212635 0.13377203 0.         0.19718602 0.38439986
 0.        ]",1.1135664505300829,1.108864271162861,0.0,0.0,0.0,0.13251574358314772,0.0,0.0,0.15212635372712044,0.13377202751882875,0.0,0.19718601845707998,0.384399856713823,0.0,0.0
45,2014-03-12,"[0.         0.         0.         0.         0.13224906 0.
 0.         0.15204335 0.13380477 0.         0.19733179 0.38457103
 0.        ]",1.1155185071438545,1.1181741890496142,0.0,0.0,0.0,0.1322490571438208,0.0,0.0,0.15204335448905812,0.133804773075586,0.0,0.19733178701342985,0.3845710282781053,0.0,0.0
46,2014-03-13,"[0.         0.         0.         0.         0.13217381 0.
 0.         0.15195727 0.13369015 0.         0.19762604 0.38455273
 0.        ]",1.1034488611631572,1.1112131268848406,0.0,0.0,0.0,0.13217381063629613,0.0,0.0,0.1519572746872267,0.1336901458377494,0.0,0.19762604082616406,0.38455272801256374,0.0,0.0
47,2014-03-14,"[0.         0.         0.         0.         0.13211188 0.
 0.         0.15193591 0.13369585 0.         0.19766343 0.38459293
 0.        ]",1.1117664567793355,1.1176699956061589,0.0,0.0,0.0,0.13211187556246326,0.0,0.0,0.1519359075133557,0.13369585128319836,0.0,0.1976634343712641,0.38459293126971844,0.0,0.0
48,2014-03-17,"[0.         0.         0.         0.         0.1320686  0.
 0.         0.15199302 0.13375791 0.         0.19752737 0.38465311
 0.        ]",1.089578899503129,1.097136623095143,0.0,0.0,0.0,0.1320685955822288,0.0,0.0,0.1519930161489176,0.13375790948939517,0.0,0.1975273708090434,0.38465310797041496,0.0,0.0
49,2014-03-18,"[0.         0.         0.         0.         0.13222727 0.
 0.         0.1520342  0.13380505 0.         0.19731559 0.38461789
 0.        ]",1.107994816494515,1.1072550753329395,0.0,0.0,0.0,0.13222727205011997,0.0,0.0,0.15203420415545313,0.1338050473187164,0.0,0.19731558863763962,0.38461788783807094,0.0,0.0
50,2014-03-19,"[0.         0.         0.         0.         0.13246787 0.
 0.         0.15217424 0.13369019 0.         0.19729843 0.38436927
 0.        ]",1.108763878359367,1.1067878272440428,0.0,0.0,0.0,0.13246787347555872,0.0,0.0,0.152174240323321,0.13369018593458837,0.0,0.19729842979152462,0.38436927047500735,0.0,0.0
51,2014-03-20,"[0.         0.         0.         0.         0.13240062 0.
 0.         0.15216553 0.13375454 0.         0.19727783 0.38440148
 0.        ]",1.1241852637346204,1.1166467337441581,0.0,0.0,0.0,0.1324006215332677,0.0,0.0,0.15216553449814849,0.1337545429973764,0.0,0.19727782587449177,0.3844014750967157,0.0,0.0
52,2014-03-21,"[0.         0.         0.         0.         0.13236494 0.
 0.         0.15212983 0.13387814 0.         0.19711725 0.38450983
 0.        ]",1.1104064087023557,1.1070020943262409,0.0,0.0,0.0,0.1323649417356359,0.0,0.0,0.15212983391054394,0.13387814315648225,0.0,0.1971172466593035,0.3845098345380345,0.0,0.0
53,2014-03-24,"[0.         0.         0.         0.         0.1320593  0.
 0.         0.15199327 0.13400058 0.         0.19711852 0.38482833
 0.        ]",1.1388559612148084,1.1202490036245292,0.0,0.0,0.0,0.13205930428592835,0.0,0.0,0.1519932653635658,0.1340005783980592,0.0,0.19711852187921935,0.3848283300732272,0.0,0.0
54,2014-03-25,"[0.         0.         0.         0.         0.13145801 0.
 0.         0.15177491 0.13411197 0.         0.19730171 0.38535339
 0.        ]",1.1310013963034038,1.111366924178722,0.0,0.0,0.0,0.1314580119851511,0.0,0.0,0.15177491332960938,0.13411197113087872,0.0,0.19730170994134164,0.3853533936130191,0.0,0.0
55,2014-03-26,"[0.         0.         0.         0.         0.1312425  0.
 0.         0.15169823 0.13401387 0.         0.19754709 0.38549831
 0.        ]",1.123801709651509,1.0992988552041167,0.0,0.0,0.0,0.13124249502831734,0.0,0.0,0.15169822974844363,0.13401387297478767,0.0,0.19754708951236144,0.38549831273608987,0.0,0.0
56,2014-03-27,"[0.         0.         0.         0.         0.13112016 0.
 0.         0.15164431 0.13400977 0.         0.1976319  0.38559387
 0.        ]",1.1273290120283619,1.1036975739264114,0.0,0.0,0.0,0.13112015515385997,0.0,0.0,0.15164431079970322,0.1340097688285725,0.0,0.19763189801201653,0.3855938672058478,0.0,0.0
57,2014-03-28,"[0.         0.         0.         0.         0.13088647 0.
 0.         0.1515368  0.13406104 0.         0.19775162 0.38576408
 0.        ]",1.105238921965571,1.0917146113037515,0.0,0.0,0.0,0.13088646560152795,0.0,0.0,0.1515368009482794,0.13406104277571726,0.0,0.19775161511437264,0.3857640755601028,0.0,0.0
58,2014-03-31,"[0.         0.         0.         0.         0.13087762 0.
 0.         0.15148107 0.133993   0.         0.19790082 0.38574749
 0.        ]",1.0927054339965856,1.0888622151250926,0.0,0.0,0.0,0.13087762451719004,0.0,0.0,0.15148107418190668,0.1339929998389775,0.0,0.19790081566549975,0.385747485796426,0.0,0.0
59,2014-04-01,"[0.         0.         0.13357429 0.         0.         0.
 0.         0.14533523 0.1169702  0.         0.22582272 0.37829755
 0.        ]",1.0959225167166378,1.0985751367068814,0.0,0.13357429318003414,0.0,0.0,0.0,0.0,0.1453352296085644,0.11697020317288416,0.0,0.22582272253630978,0.37829755150220745,0.0,0.0
60,2014-04-02,"[0.         0.         0.14661062 0.         0.         0.
 0.         0.14286656 0.11443567 0.         0.22553204 0.37055511
 0.        ]",1.1111039095184552,1.1110642626228215,0.0,0.14661061801267047,0.0,0.0,0.0,0.0,0.1428665611270908,0.11443567183305395,0.0,0.22553203777906627,0.3705551112481186,0.0,0.0
61,2014-04-03,"[0.         0.         0.14901219 0.         0.         0.
 0.         0.1426509  0.11425798 0.         0.22589471 0.36818421
 0.        ]",1.1233943409282063,1.1227128652406644,0.0,0.1490121914016242,0.0,0.0,0.0,0.0,0.14265090103010394,0.11425798440680705,0.0,0.22589470959328717,0.36818421356817765,0.0,0.0
62,2014-04-04,"[0.         0.         0.14898893 0.         0.         0.
 0.         0.1428546  0.11458326 0.         0.22569494 0.36787826
 0.        ]",1.1196386188990843,1.1229780973322774,0.0,0.14898893109242375,0.0,0.0,0.0,0.0,0.142854604485587,0.11458325890802631,0.0,0.22569494069659177,0.3678782648173712,0.0,0.0
63,2014-04-07,"[0.         0.         0.14890914 0.         0.         0.
 0.         0.14288925 0.11474521 0.         0.22551705 0.36793935
 0.        ]",1.1166808079079493,1.1245739883493695,0.0,0.14890914276898298,0.0,0.0,0.0,0.0,0.14288925373344843,0.11474520577742543,0.0,0.22551705200890737,0.3679393457112358,0.0,0.0
64,2014-04-08,"[0.         0.         0.14882072 0.         0.         0.
 0.         0.14291336 0.11481677 0.         0.2254115  0.36803765
 0.        ]",1.0673586458979176,1.0933818133248667,0.0,0.14882071541902356,0.0,0.0,0.0,0.0,0.14291336359135387,0.11481677397636036,0.0,0.22541149832710614,0.368037648686156,0.0,0.0
65,2014-04-09,"[0.         0.         0.14907656 0.         0.         0.
 0.         0.14278044 0.11474819 0.         0.22546319 0.36793162
 0.        ]",1.058749363927222,1.085211952992661,0.0,0.14907656344384596,0.0,0.0,0.0,0.0,0.1427804402838067,0.11474818822240007,0.0,0.2254631879464231,0.3679316201035241,0.0,0.0
66,2014-04-10,"[0.         0.         0.14896939 0.         0.         0.
 0.         0.14281123 0.11481667 0.         0.22540348 0.36799923
 0.        ]",1.072040468074627,1.0947749844358592,0.0,0.14896939345217117,0.0,0.0,0.0,0.0,0.14281123330543535,0.11481666669003374,0.0,0.2254034770570249,0.36799922949533476,0.0,0.0
67,2014-04-11,"[0.         0.         0.14903072 0.         0.         0.
 0.         0.14279157 0.11468062 0.         0.22562875 0.36786834
 0.        ]",1.0900643970034172,1.1055651430431157,0.0,0.1490307213100124,0.0,0.0,0.0,0.0,0.14279156994752745,0.1146806157441035,0.0,0.22562875058269147,0.36786834241566524,0.0,0.0
68,2014-04-14,"[0.         0.         0.14887958 0.         0.         0.
 0.         0.1428267  0.11473112 0.         0.225662   0.3679006
 0.        ]",1.0427003777403123,1.0792103433607465,0.0,0.14887958396093828,0.0,0.0,0.0,0.0,0.14282669774844386,0.11473111831560476,0.0,0.22566199842038934,0.3679006015546239,0.0,0.0
69,2014-04-15,"[0.         0.         0.14934895 0.         0.         0.
 0.         0.14267843 0.1144544  0.         0.22599816 0.36752006
 0.        ]",1.0500126780616392,1.078668139009737,0.0,0.14934895069044732,0.0,0.0,0.0,0.0,0.14267842631874036,0.11445439549619853,0.0,0.2259981631568656,0.36752006433774836,0.0,0.0
70,2014-04-16,"[0.         0.         0.14911741 0.         0.         0.
 0.         0.14272115 0.11463061 0.         0.22584919 0.36768163
 0.        ]",1.03940093404976,1.0760957254948371,0.0,0.14911741351000124,0.0,0.0,0.0,0.0,0.14272115347171152,0.11463061315367044,0.0,0.22584919337575513,0.36768162648886155,0.0,0.0
71,2014-04-17,"[0.         0.         0.14863001 0.         0.         0.
 0.         0.14286365 0.1149412  0.         0.22543645 0.3681287
 0.        ]",1.0443310360594038,1.0846925569672394,0.0,0.14863000741975707,0.0,0.0,0.0,0.0,0.14286364688436298,0.11494119910355628,0.0,0.2254364470504294,0.3681286995418942,0.0,0.0
72,2014-04-21,"[0.         0.         0.14906312 0.         0.         0.
 0.         0.14273958 0.11460617 0.         0.22581425 0.36777688
 0.        ]",1.0423923594690865,1.0830430665971251,0.0,0.14906312421942816,0.0,0.0,0.0,0.0,0.14273957640910911,0.11460616727140137,0.0,0.22581425133167138,0.3677768807683898,0.0,0.0
73,2014-04-22,"[0.         0.         0.14910047 0.         0.         0.
 0.         0.14271866 0.11468536 0.         0.22570177 0.36779375
 0.        ]",1.051959167816927,1.0862426602818622,0.0,0.14910047277776556,0.0,0.0,0.0,0.0,0.14271865621485796,0.11468535685813762,0.0,0.22570176877726703,0.3677937453719718,0.0,0.0
74,2014-04-23,"[0.         0.         0.14902026 0.         0.         0.
 0.         0.14273496 0.11476719 0.         0.22557518 0.36790241
 0.        ]",1.0605762274754127,1.090214574266851,0.0,0.14902026486362904,0.0,0.0,0.0,0.0,0.14273496135727864,0.11476719030650488,0.0,0.22557517705140667,0.36790240642118077,0.0,0.0
75,2014-04-24,"[0.         0.         0.14801281 0.         0.         0.
 0.         0.14306725 0.11534152 0.         0.22481075 0.36876766
 0.        ]",1.072742528611852,1.0987226308212825,0.0,0.1480128111348534,0.0,0.0,0.0,0.0,0.1430672526094554,0.11534152150780909,0.0,0.22481075106667417,0.36876766368120806,0.0,0.0
76,2014-04-25,"[0.         0.         0.14767827 0.         0.         0.
 0.         0.14315625 0.11559287 0.         0.22429923 0.36927338
 0.        ]",1.0438216265126499,1.0925138424343959,0.0,0.14767826911970974,0.0,0.0,0.0,0.0,0.14315624860744566,0.11559286698412354,0.0,0.2242992304441738,0.36927338484454725,0.0,0.0
