,Date,Weights,Profit,Base Profit,AMS,PMD,LH,DGX,WLFC,KAMN,LAWS,HDSN,JNJ,BMY,PFE,ABT,cash
671,2016-09-02,"[0.         0.         0.         0.07949589 0.13232227 0.25463403
 0.         0.         0.07974395 0.         0.11660472 0.19813696
 0.13906219]",1.3117278651927615,1.2687047943378384,0.0,0.0,0.0794958855165526,0.13232227036962788,0.25463403077867214,0.0,0.0,0.07974395142618089,0.0,0.11660471691940014,0.19813695687032556,0.13906218811924081,0.0
672,2016-09-06,"[0.         0.         0.         0.07930839 0.1325215  0.25483312
 0.         0.         0.08017968 0.         0.11654606 0.19829782
 0.13831343]",1.306551790106458,1.268004039197127,0.0,0.0,0.07930838809123009,0.13252150298778623,0.25483312131689406,0.0,0.0,0.08017967668889187,0.0,0.11654605896820468,0.19829782198997536,0.13831342995701773,0.0
673,2016-09-07,"[0.         0.         0.         0.0797894  0.13287333 0.25445192
 0.         0.         0.08013938 0.         0.11614321 0.19780213
 0.13880062]",1.2629957634432165,1.2516723346460832,0.0,0.0,0.0797893992174755,0.13287333348150288,0.25445191865423056,0.0,0.0,0.08013938439107307,0.0,0.11614321347504714,0.19780213117400477,0.13880061960666612,0.0
674,2016-09-08,"[0.         0.         0.         0.07993991 0.13306856 0.25435373
 0.         0.         0.08002889 0.         0.11593665 0.19760272
 0.13906954]",1.2575607978439214,1.2429400372451156,0.0,0.0,0.07993990662819085,0.13306856220241325,0.2543537291817581,0.0,0.0,0.08002888766407909,0.0,0.11593665202758069,0.19760272101468193,0.1390695412812961,0.0
675,2016-09-09,"[0.         0.         0.         0.0803582  0.13286219 0.2539322
 0.         0.         0.07996427 0.         0.11594249 0.1972314
 0.13970926]",1.263952611962057,1.2457011141935939,0.0,0.0,0.0803581971562762,0.13286219283781042,0.2539321973057943,0.0,0.0,0.07996426911184419,0.0,0.11594249101258321,0.19723139565707076,0.1397092569186208,0.0
676,2016-09-12,"[0.         0.         0.         0.08031504 0.13287816 0.2540629
 0.         0.         0.07997428 0.         0.11588105 0.19727038
 0.13961819]",1.2632735633084227,1.2379841577880553,0.0,0.0,0.08031504030992813,0.1328781562795197,0.25406290117691843,0.0,0.0,0.07997428331540958,0.0,0.11588104988180122,0.19727037816287724,0.13961819087354568,0.0
677,2016-09-13,"[0.         0.         0.         0.08094574 0.13251007 0.25319145
 0.         0.         0.07983745 0.         0.11598316 0.19646712
 0.14106501]",1.2401554988131842,1.2196877528978387,0.0,0.0,0.0809457430898499,0.132510066326116,0.2531914459605528,0.0,0.0,0.07983745092244543,0.0,0.11598315880851218,0.19646712138263514,0.14106501350988843,0.0
678,2016-09-14,"[0.         0.         0.         0.08070508 0.13266361 0.25300131
 0.         0.         0.07963788 0.         0.116254   0.19660812
 0.14112999]",1.2510730170249902,1.2268899426512763,0.0,0.0,0.08070508190222776,0.1326636140952764,0.25300130548991967,0.0,0.0,0.07963788283203373,0.0,0.11625400413465224,0.1966081198142174,0.14112999173167276,0.0
679,2016-09-15,"[0.         0.         0.         0.08078308 0.13278465 0.2528231
 0.         0.         0.07943197 0.         0.11618821 0.19641445
 0.14157454]",1.2462062583400921,1.2274718980455217,0.0,0.0,0.08078308255497545,0.13278464930365275,0.25282309984642126,0.0,0.0,0.07943197336533082,0.0,0.11618820906512811,0.1964144469799481,0.1415745388845434,0.0
680,2016-09-16,"[0.         0.         0.         0.08106751 0.1325892  0.25276495
 0.         0.         0.07975173 0.         0.11605046 0.19614414
 0.14163201]",1.2399083691722022,1.2211248998187985,0.0,0.0,0.08106750991556698,0.13258920232013152,0.25276495113570024,0.0,0.0,0.07975172996112752,0.0,0.11605045729971687,0.19614414196427873,0.14163200740347806,0.0
