,Date,Weights,Profit,Base Profit,ABT,JNJ,BMY,PFE,BCRX,TECH,NBIX,TTNP,JKHY,STRM,UIS,EBIX,cash
1303,2019-03-12,"[0.         0.         0.15768073 0.17854915 0.         0.11649093
 0.1828895  0.12991699 0.         0.11532683 0.         0.
 0.11914587]",2.096754623660493,1.7765690015723479,0.0,0.1576807324085735,0.1785491510475314,0.0,0.11649092863381852,0.1828895004639706,0.12991698751091585,0.0,0.11532683243758661,0.0,0.0,0.11914586749760353,0.0
1304,2019-03-13,"[0.         0.         0.1566633  0.1794196  0.         0.1159017
 0.18327496 0.13017098 0.         0.11576231 0.         0.
 0.11880715]",2.1296452839719713,1.8153845759934077,0.0,0.15666330032199732,0.1794196005091661,0.0,0.11590169562027765,0.18327495645016653,0.13017098481537565,0.0,0.11576230967685511,0.0,0.0,0.11880715260616145,0.0
1305,2019-03-14,"[0.         0.         0.15636979 0.17963349 0.         0.11580165
 0.18321637 0.13029409 0.         0.11583564 0.         0.
 0.11884898]",2.1395990755852052,1.8275717793182105,0.0,0.15636978634781573,0.17963348690702594,0.0,0.11580164702379228,0.18321637358188636,0.13029408882287394,0.0,0.11583563550795715,0.0,0.0,0.11884898180864872,0.0
1306,2019-03-15,"[0.         0.         0.15642787 0.17959057 0.         0.11568078
 0.18291351 0.13073208 0.         0.11563998 0.         0.
 0.11901521]",2.1460352156099756,1.8458304335499758,0.0,0.1564278675835288,0.17959057045624668,0.0,0.11568077674784494,0.18291351326541683,0.1307320813306031,0.0,0.11563998027341861,0.0,0.0,0.11901521034294092,0.0
1307,2019-03-18,"[0.         0.         0.15607581 0.17979467 0.         0.11565989
 0.18296331 0.13047671 0.         0.11606047 0.         0.
 0.11896914]",2.1346984499401196,1.837269891362701,0.0,0.15607580610074873,0.17979466630200702,0.0,0.11565989200512969,0.18296330650459494,0.13047671420184373,0.0,0.11606047006366939,0.0,0.0,0.11896914482200653,0.0
1308,2019-03-19,"[0.         0.         0.15605918 0.17986708 0.         0.11556332
 0.18297651 0.13075314 0.         0.11582269 0.         0.
 0.11895808]",2.144387553829729,1.8545774471932854,0.0,0.15605917998690483,0.17986707651527242,0.0,0.11556331770380218,0.18297651022971423,0.13075314488146933,0.0,0.11582269487689884,0.0,0.0,0.11895807580593808,0.0
1309,2019-03-20,"[0.         0.         0.15606808 0.17983061 0.         0.11555284
 0.18300702 0.13073357 0.         0.11593982 0.         0.
 0.11886805]",2.153501230106706,1.861675008949728,0.0,0.15606808118868076,0.17983061497969188,0.0,0.11555283855672989,0.18300702150528478,0.1307335735901696,0.0,0.11593982228959653,0.0,0.0,0.11886804788984667,0.0
1310,2019-03-21,"[0.         0.         0.15593086 0.17980437 0.         0.11557146
 0.18297854 0.13073724 0.         0.11609004 0.         0.
 0.11888748]",2.149372057522304,1.874267341612102,0.0,0.1559308550693522,0.17980437455574128,0.0,0.11557146137414089,0.18297853566745775,0.13073724463986605,0.0,0.1160900445487924,0.0,0.0,0.1188874841446495,0.0
1311,2019-03-22,"[0.         0.         0.15656032 0.17907951 0.         0.11624699
 0.18302329 0.12981452 0.         0.11643785 0.         0.
 0.1188375 ]",2.118204558274475,1.8532749378634568,0.0,0.15656032440878553,0.17907951285658114,0.0,0.11624699468747511,0.18302329122278846,0.1298145248901033,0.0,0.1164378499440412,0.0,0.0,0.11883750199022526,0.0
1312,2019-03-25,"[0.         0.         0.15590014 0.1796154  0.         0.11582597
 0.18308913 0.13024819 0.         0.11659434 0.         0.
 0.11872682]",2.1446303988283897,1.8816717932990457,0.0,0.15590014094299542,0.1796154030875831,0.0,0.11582596866516712,0.18308913252092618,0.1302481933206106,0.0,0.1165943444263254,0.0,0.0,0.11872681703639215,0.0
